"CASE_KEY","ACTIVITY_EN","EVENTTIME","SORTING"
"15527191","Start production",2017-04-03 00:00:00,30
"15527191","Order received",2017-04-26 10:15:12,0
"15527191","Change price",2017-04-26 10:15:12,80
"15527191","Change production start date",2017-04-26 10:16:52,90
"15527191","Change delivery date",2017-04-26 10:18:32,100
"15527191","Check Credit Score",2017-04-26 10:18:52,19
"15527191","Confirm sale",2017-04-26 10:31:07,10
"15527191","Change quantity",2017-05-11 10:01:44,170
"15527191","Change quantity",2017-05-29 08:20:10,170
"15527191","Change production start date",2017-05-29 08:26:21,90
"15527191","Change quantity",2017-09-18 08:28:12,170
"15527191","Change quantity",2017-10-12 09:04:37,170
"15527191","Change production start date",2017-10-12 13:07:20,90
"15527191","Change delivery date",2017-10-12 13:07:20,100
"15527191","Change quantity",2017-11-27 08:11:41,170
"15527191","Change delivery date",2017-11-27 16:02:39,100
"15527191","Change delivery date",2018-01-04 10:24:41,100
"15527191","Change production start date",2018-01-08 12:53:49,90
"15527191","Finished production",2018-01-26 08:27:46,40
"15527191","Load shipment",2018-01-26 08:27:46,50
"15527191","Change production start date",2018-01-26 08:27:46,90
"15527191","Change delivery date",2018-01-26 08:27:46,100
"15527191","Goods delivered",2018-01-29 00:00:00,60
"15527691","Order received",2017-04-26 10:16:21,0
"15527691","Change price",2017-04-26 10:16:21,80
"15527691","Change production start date",2017-04-26 10:16:53,90
"15527691","Change delivery date",2017-04-26 10:18:40,100
"15527691","Check Credit Score",2017-04-26 10:18:54,19
"15527691","Confirm sale",2017-04-26 10:31:16,10
"15527691","Start production",2017-06-12 00:00:00,30
"15527691","Change quantity",2017-07-21 09:04:53,170
"15527691","Change price",2017-08-23 15:58:42,80
"15527691","Change quantity",2017-08-23 15:58:42,170
"15527691","Change production start date",2017-10-12 13:08:16,90
"15527691","Change delivery date",2017-10-12 13:08:16,100
"15527691","Change price",2017-11-24 13:10:13,80
"15527691","Change quantity",2017-11-24 13:10:13,170
"15527691","Change production start date",2017-12-20 08:41:30,90
"15527691","Change delivery date",2017-12-20 08:41:30,100
"15527691","Load shipment",2018-02-01 13:50:03,50
"15527691","Change quantity",2018-02-01 13:50:03,170
"15527691","Finished production",2018-02-02 00:00:00,40
"15527691","Goods delivered",2018-02-02 00:00:00,60
"15113491","Start production",2017-05-02 00:00:00,30
"15113491","Order received",2017-05-12 08:51:54,0
"15113491","Change price",2017-05-12 08:51:54,80
"15113491","Change production start date",2017-05-12 08:55:20,90
"15113491","Check Credit Score",2017-05-12 08:55:21,19
"15113491","Confirm sale",2017-05-12 08:56:29,10
"15113491","Change delivery date",2017-05-12 08:57:02,100
"15113491","Change quantity",2017-05-29 08:24:10,170
"15113491","Change quantity",2017-09-06 10:01:49,170
"15113491","Change production start date",2017-10-12 13:09:43,90
"15113491","Change delivery date",2017-10-12 13:09:43,100
"15113491","Change production start date",2017-12-05 11:26:08,90
"15113491","Change delivery date",2017-12-05 11:26:08,100
"15113491","Change production start date",2017-12-27 16:23:25,90
"15113491","Change delivery date",2017-12-27 16:23:25,100
"15113491","Finished production",2018-01-12 00:00:00,40
"15113491","Load shipment",2018-01-15 00:00:00,50
"15113491","Goods delivered",2018-01-16 09:25:52,60
"15113491","Change quantity",2018-01-16 09:25:52,170
"15170191","Change price",2017-05-24 10:42:37,80
"15170191","Change production start date",2017-05-24 13:05:25,90
"15170191","Check Credit Score",2017-05-24 13:05:26,19
"15170191","Confirm sale",2017-05-31 13:16:42,10
"15170191","Start production",2017-06-12 00:00:00,30
"15170191","Change quantity",2017-08-29 16:31:11,170
"15170191","Change quantity",2017-08-30 10:35:42,170
"15170191","Change delivery date",2017-10-05 14:08:03,100
"15170191","Change quantity",2017-10-20 08:36:16,170
"15170191","Change production start date",2017-11-20 15:07:34,90
"15170191","Change quantity",2017-12-08 11:11:45,170
"15170191","Change quantity",2018-01-26 14:38:05,170
"15170191","Order received",2018-03-21 12:22:23,0
"15170191","Change production start date",2018-03-21 12:22:23,90
"15170191","Change delivery date",2018-03-21 12:22:23,100
"15170191","Change delivery date",2018-03-22 14:50:52,100
"15170191","Change production start date",2018-03-23 09:35:57,90
"15170191","Change delivery date",2018-03-23 09:35:57,100
"15170191","Change quantity",2018-03-23 09:37:17,170
"15170191","Finished production",2018-03-26 00:00:00,40
"15170191","Load shipment",2018-03-27 00:00:00,50
"15170191","Goods delivered",2018-03-28 08:50:44,60
"15170191","Change quantity",2018-03-28 08:50:44,170
"15170195","Start production",2017-06-12 00:00:00,30
"15170195","Order received",2017-12-08 11:10:31,0
"15170195","Change production start date",2017-12-08 11:10:31,90
"15170195","Change price",2017-12-08 11:10:45,80
"15170195","Change delivery date",2017-12-08 11:12:26,100
"15170195","Check Credit Score",2017-12-08 11:13:18,19
"15170195","Confirm sale",2017-12-19 14:26:30,10
"15170195","Finished production",2018-01-12 00:00:00,40
"15170195","Load shipment",2018-01-12 00:00:00,50
"15170195","Goods delivered",2018-01-15 00:00:00,60
"15170196","Start production",2017-06-12 00:00:00,30
"15170196","Order received",2018-01-26 14:37:16,0
"15170196","Change production start date",2018-01-26 14:37:16,90
"15170196","Change price",2018-01-26 14:38:23,80
"15170196","Check Credit Score",2018-01-26 14:38:54,19
"15170196","Confirm sale",2018-01-31 15:49:10,10
"15170196","Finished production",2018-02-23 00:00:00,40
"15170196","Load shipment",2018-02-24 00:00:00,50
"15170196","Goods delivered",2018-02-27 00:00:00,60
"15106391","Order received",2017-06-12 09:23:21,0
"15106391","Change price",2017-06-12 09:23:21,80
"15106391","Change production start date",2017-06-12 09:25:53,90
"15106391","Check Credit Score",2017-06-12 09:25:54,19
"15106391","Confirm sale",2017-06-12 09:45:20,10
"15106391","Change delivery date",2017-06-12 09:48:57,100
"15106391","Change quantity",2017-08-02 09:54:59,170
"15106391","Change quantity",2017-09-18 08:31:22,170
"15106391","Change production start date",2017-10-12 13:11:30,90
"15106391","Change delivery date",2017-10-12 13:11:30,100
"15106391","Start production",2017-12-12 00:00:00,30
"15106391","Change production start date",2017-12-20 08:43:24,90
"15106391","Change delivery date",2017-12-20 08:43:24,100
"15106391","Finished production",2018-01-26 15:55:05,40
"15106391","Load shipment",2018-01-26 15:55:05,50
"15106391","Goods delivered",2018-01-30 00:00:00,60
"15106991","Order received",2017-06-12 09:25:37,0
"15106991","Start production",2017-06-12 09:25:37,30
"15106991","Change price",2017-06-12 09:25:37,80
"15106991","Change production start date",2017-06-12 09:25:55,90
"15106991","Check Credit Score",2017-06-12 09:25:56,19
"15106991","Confirm sale",2017-06-12 09:45:26,10
"15106991","Change delivery date",2017-06-12 09:47:57,100
"15106991","Change quantity",2017-07-21 08:53:58,170
"15106991","Change quantity",2017-10-12 09:13:02,170
"15106991","Change production start date",2017-10-12 13:14:28,90
"15106991","Change delivery date",2017-10-12 13:14:28,100
"15106991","Change delivery date",2017-11-27 16:03:32,100
"15106991","Change production start date",2017-12-11 09:06:33,90
"15106991","Finished production",2018-02-09 00:00:00,40
"15106991","Load shipment",2018-02-13 11:43:55,50
"15106991","Goods delivered",2018-02-13 11:43:55,60
"15107592","Change price",2017-06-12 12:56:40,80
"15107592","Change production start date",2017-06-15 14:48:03,90
"15107592","Check Credit Score",2017-06-15 16:55:39,19
"15107592","Confirm sale",2017-06-16 13:36:27,10
"15107592","Change price",2017-08-29 15:49:04,80
"15107592","Change quantity",2017-08-29 15:49:04,170
"15107592","Change delivery date",2017-10-05 14:09:01,100
"15107592","Change quantity",2017-10-13 11:01:09,170
"15107592","Start production",2017-10-20 00:00:00,30
"15107592","Change production start date",2017-11-20 15:10:15,90
"15107592","Order received",2017-12-07 13:22:37,0
"15107592","Change production start date",2017-12-07 13:22:37,90
"15107592","Change delivery date",2017-12-07 13:22:37,100
"15107592","Finished production",2018-01-12 00:00:00,40
"15107592","Load shipment",2018-01-12 00:00:00,50
"15107592","Goods delivered",2018-01-15 00:00:00,60
"15121392","Order received",2017-06-23 00:00:00,0
"15121392","Credit order block",2017-06-26 11:45:46,20
"15121392","Change price",2017-06-26 11:45:46,80
"15121392","Check Credit Score",2017-06-26 13:01:34,19
"15121392","Change production start date",2017-06-26 13:01:34,90
"15121392","Confirm sale",2017-06-29 14:04:39,10
"15121392","Start production",2017-09-08 00:00:00,30
"15121392","Finished production",2018-01-05 00:00:00,40
"15121392","Load shipment",2018-01-15 00:24:20,50
"15121392","Change quantity",2018-01-14 00:24:20,170
"15121392","Change quantity",2018-01-15 16:10:23,170
"15121392","Goods delivered",2018-01-16 00:00:00,60
