"CASE_KEY","DELIVERY_COMPANY","PRODUCT_TYPE","FACTORY","ORDERED_QUANTITY","DELIVERED_QUANTITY","MIN_ORDER_TOLERANCE","MAX_ORDER_TOLERANCE","CUST_MARKET","CUST_ID","CUST_NAME","CUST_ADDR_CODE","DAYS_TO_DEL_DEADLINE","ORDER_TOLERANCE_MET","ORDER_DATE_MET","X_CEL_O2C_CASES.SAL_ORD_POS_QUAN","DELIVERED_QUANTITY_UNIT","WAREHOUSE_TYPE","DELIVERED_DATE","PROMISED_DATE","CUST_COUNTRY","ORDER_VALUE","UNIT_PRICE"
"15358791","UPS","Pallets","Aachen",101,101,0,0,"Retail","35755","Graf KG",1,0,1,1,101,"kg","Non-automated","2018-02-08 00:00:01","2018-02-08 00:00:01"," DE","663,36","6,57"
"15358391","UPS","Pallets","Aachen",308,308,0,0,"Retail","35755","Graf KG",1,-2,1,1,308,"kg","Non-automated","2018-02-01 00:00:01","2018-01-30 00:00:01"," DE","2064,14","6,7"
"15358392","UPS","Pallets","Aachen",1130,1130,0,0,"Retail","35755","Graf KG",1,4,1,0,1130,"kg","Non-automated","2018-02-01 00:00:01","2018-02-05 00:00:01"," DE","7599,28","6,73"
"15358491","UPS","Pallets","Aachen",161,161,0,0,"Retail","37789","Krauß AG",1,0,1,1,161,"kg","Non-automated","2018-01-30 00:00:01","2018-01-30 00:00:01"," DE","2538,0","15,76"
"15352991","UPS","Crates","Essen",2000,2330,-20,20,"Retail","93955","Ritter Adler GbR",1,0,0,1,2330,"kg","Non-automated","2018-02-06 00:00:01","2018-02-06 00:00:01"," DE","14679,0","6,3"
"15354392","UPS","Crates","Aachen",844,844,0,20,"Retail","68955","Fritz",1,0,1,1,844,"kg","Non-automated","2018-02-27 00:00:01","2018-02-27 00:00:01"," DE","6757,33","8,01"
"15354991","UPS","Crates","Essen",2000,2050,-20,20,"Retail","25595","Weigel AG & Co. KGaA",1,0,0,1,2050,"kg","Non-automated","2018-02-27 00:00:01","2018-02-27 00:00:01"," DE","13448,0","6,56"
"15354891","UPS","Crates","Aachen",12000,11821,-5,10,"Construction","79135","Bender KG",1,0,0,1,11821,"kg","Non-automated","2018-03-20 00:00:01","2018-03-20 00:00:01"," IL","62887,72","5,32"
"15315791","UPS","Pallets","Aachen",67,67,0,0,"Retail","67555","Becker",1,0,1,1,67,"kg","Non-automated","2018-01-15 00:00:01","2018-01-15 00:00:01"," DE","485,1","7,24"
"15315091","UPS","Crates","Aachen",1500,1732,-20,20,"Retail","91595","Jürgens",1,0,0,1,1732,"kg","Non-automated","2018-01-23 00:00:01","2018-01-23 00:00:01"," DE","9629,92","5,56"
"15315891","UPS","Crates","Aachen",1000,1056,-20,20,"Retail","91595","Jürgens",1,0,0,1,1056,"kg","Non-automated","2018-01-25 00:00:01","2018-01-25 00:00:01"," DE","6388,8","6,05"
"15315892","UPS","Crates","Aachen",5053,5053,-20,20,"Retail","91595","Jürgens",1,-6,1,1,5053,"kg","Non-automated","2018-01-25 00:00:01","2018-01-19 00:00:01"," DE","36179,48","7,16"
"15315292","UPS","Crates","Essen",3000,3335,-20,20,"Retail","91595","Jürgens",1,-4,0,1,3335,"kg","Non-automated","2018-01-30 00:00:01","2018-01-26 00:00:01"," DE","20210,1","6,06"
"15311791","UPS","Crates","Essen",2000,1980,-20,20,"Retail","91595","Jürgens",2,-4,1,1,1980,"kg","Non-automated","2018-01-23 00:00:01","2018-01-19 00:00:01"," DE","7702,2","3,89"
"15311991","UPS","Crates","Aachen",5056,5816,-20,20,"Retail","35955","Pietsch AG",1,-4,0,1,5816,"kg","Non-automated","2018-02-27 00:00:01","2018-02-23 00:00:01"," DE","28964,37","4,98"
"15311293","UPS","Pallets","Crefeld",146,146,0,0,"Retail","35955","Pietsch AG",1,0,1,1,146,"kg","Non-automated","2018-02-20 00:00:01","2018-02-20 00:00:01"," DE","1293,0","8,86"
"15311491","UPS","Pallets","Crefeld",385,384,0,0,"Retail","35955","Pietsch AG",1,9,0,0,384,"kg","Non-automated","2018-02-20 00:00:01","2018-03-01 00:00:01"," DE","3203,2","8,34"
"15316591","UPS","Pallets","Crefeld",28,28,0,0,"Retail","38955","Adam KG",5,0,1,1,28,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," SE","417,07","14,9"
"15316592","UPS","Pallets","Crefeld",28,28,0,0,"Retail","38955","Adam KG",5,0,1,1,28,"kg","Non-automated","2018-01-24 00:00:01","2018-01-24 00:00:01"," SE","417,07","14,9"
"15316791","UPS","Pallets","Crefeld",296,297,0,0,"Retail","38955","Adam KG",1,-2,0,1,297,"kg","Non-automated","2018-01-31 00:00:01","2018-01-29 00:00:01"," SE","4424,8","14,9"
"15316991","DHL","Crates","Aachen",6316,6772,-5,10,"Construction","87406","Sommer Berndt AG & Co. KG",1,0,0,1,6772,"kg","Non-automated","2018-01-30 00:00:01","2018-01-30 00:00:01"," PL","33955,04","5,01"
"15316891","UPS","Pallets","Essen",32,32,0,0,"Retail","93955","Ritter Adler GbR",1,0,1,1,32,"kg","Non-automated","2018-01-16 00:00:01","2018-01-16 00:00:01"," DE","315,3","9,85"
"15316291","UPS","Pallets","Aachen",562,562,0,0,"Retail","37789","Krauß AG",1,0,1,1,562,"kg","Non-automated","2018-01-09 00:00:01","2018-01-09 00:00:01"," DE","4804,0","8,55"
"15317591","UPS","Crates","Aachen",5000,5099,-20,20,"Retail","17555","Kirchner",1,0,0,1,5099,"kg","Non-automated","2018-03-01 00:00:01","2018-03-01 00:00:01"," DE","27075,69","5,31"
"15317691","UPS","Pallets","Aachen",13,13,0,0,"Retail","67555","Becker",1,0,1,1,13,"kg","Non-automated","2018-01-15 00:00:01","2018-01-15 00:00:01"," DE","97,02","7,46"
